Sampleid	Species	Soil_type	Soil_Age	Fertilization	N__Area	C__Area	H__Area	S__Area	N__Factor	H__Factor	C__Factor	S__Factor	N_percent	C__percent	H_percent	S_percent	CN_ratio	CH_ratio	Prot_Factor	Prot_percent	pH	NNmeq_100g	O_M	Bray_IP_lb_Ac	Ca_lb_Ac	Mg_lb_Ac	K_lb_Ac	CEC_meq_100g	Sand_percent	Silt_percent	Clay_percent	Leaf_Litter	Moss	Wood_Litter
Blank01	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank02	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank03	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank04	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCR_control2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SaCC_01	SA	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SaCC_02	SA	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SaCC_03	SA	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SaCC_04	SA	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SaCC_05	SA	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SaCC_06	SA	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SaCC_07	SA	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SaDB_01	SA	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
SaDB_02	SA	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
SaDB_03	SA	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
SaDB_04	SA	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
SaDB_05	SA	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
SaDB_06	SA	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
SaDB_07	SA	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
SaEM_01	SA	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
SaEM_02	SA	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
SaEM_03	SA	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
SaEM_04	SA	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
SaEM_05	SA	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
SaEM_06	SA	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
SaEM_07	SA	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
SaTH_01	SA	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
SaTH_02	SA	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
SaTH_03	SA	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
SaTH_04	SA	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
SaTH_05	SA	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
SaTH_06	SA	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
SaTH_07	SA	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
ScCC_01	SC	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ScCC_02	SC	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ScCC_03	SC	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
