Unit,plot,Plot,Block,Species,Number,potID,uniqID,greenhouseSoil,seedID,quadrat,Quadrat,Soil,Soil2,Competition,Position,Year,Survival,Height,Rosette,nLeaf,nStem,leafDamage,leafLength,leafWidth,Area_week12
TRHO,1,TRHO#1,E,Gv,3,E-Gv-3,TRHO-E-Gv-3,TRHO,52,BL-HS-CA,BL,Home,Old,Absent,C3,2020,1,71.9,0,24,2,1,15.7,17.1,268.47
TRHO,1,TRHO#1,A,Gv,2,A-Gv-2,TRHO-A-Gv-2,TRHO,71,BR-HS-CP,BR,Home,Old,Present,C2,2020,1,74.8,0,14,1,1,24.3,11.1,269.73
TRHO,1,TRHO#1,F,Gv,5,F-Gv-5,TRHO-F-Gv-5,TRHO,72,BR-HS-CP,BR,Home,Old,Present,C3,2020,1,66.7,0,20,2,1,21.8,11.3,246.34
TRHO,1,TRHO#1,D,Gv,3,D-Gv-3,TRHO-D-Gv-3,TRHO,75,BR-HS-CP,BR,Home,Old,Present,D1,2020,1,67.7,0,19,2,2,29.5,15.3,451.35
TRHO,2,TRHO#2,B,Gv,3,B-Gv-3,TRHO-B-Gv-3,TRHO,119,BL-HS-CP,BL,Home,Old,Present,B1,2020,1,61.2,0,18,2,1,22.6,11.2,253.12
TRHO,2,TRHO#2,F,Gv,1,F-Gv-1,TRHO-F-Gv-1,TRHO,120,BL-HS-CP,BL,Home,Old,Present,B2,2020,1,48.3,0,28,3,2,17.9,9.7,173.63
TRHO,2,TRHO#2,C,Gv,1,C-Gv-1,TRHO-C-Gv-1,TRHO,130,BL-HS-CP,BL,Home,Old,Present,D4,2020,1,63.5,0,15,2,1,12.9,12.3,158.67
TRHO,2,TRHO#2,D,Gv,1,D-Gv-1,TRHO-D-Gv-1,TRHO,138,BR-HS-CA,BR,Home,Old,Absent,B4,2020,1,58.8,0,14,1,1,25.4,12.1,307.34
TRHO,2,TRHO#2,G,Gv,5,G-Gv-5,TRHO-G-Gv-5,TRHO,142,BR-HS-CA,BR,Home,Old,Absent,C3,2020,1,53.5,0,16,2,1,23.9,12.7,303.53
TRHO,2,TRHO#2,F,Gv,2,F-Gv-2,TRHO-F-Gv-2,TRHO,145,BR-HS-CA,BR,Home,Old,Absent,D4,2020,1,65.8,0,18,2,1,22.6,12.2,275.72
